code,year,community
TUR,1957,pact:AUS
TWN,1957,pact:AUS
USA,1957,pact:AUS
YUG,1957,pact:AUS
ALB,1957,pact:ALB
BGR,1957,pact:ALB
CHN,1957,pact:ALB
CSK,1957,pact:ALB
DDR,1957,pact:ALB
FIN,1957,pact:ALB
HUN,1957,pact:ALB
MNG,1957,pact:ALB
POL,1957,pact:ALB
ROU,1957,pact:ALB
RUS,1957,pact:ALB
ARG,1957,pact:ARG
BOL,1957,pact:ARG
BRA,1957,pact:ARG
CHL,1957,pact:ARG
COL,1957,pact:ARG
CRI,1957,pact:ARG
CUB,1957,pact:ARG
DOM,1957,pact:ARG
ECU,1957,pact:ARG
GTM,1957,pact:ARG
HND,1957,pact:ARG
HTI,1957,pact:ARG
MEX,1957,pact:ARG
NIC,1957,pact:ARG
PAN,1957,pact:ARG
PER,1957,pact:ARG
PRY,1957,pact:ARG
SLV,1957,pact:ARG
URY,1957,pact:ARG
VEN,1957,pact:ARG
ARE,1957,pact:ARE
EGY,1957,pact:ARE
IRQ,1957,pact:ARE
JOR,1957,pact:ARE
LBN,1957,pact:ARE
LBY,1957,pact:ARE
SAU,1957,pact:ARE
SYR,1957,pact:ARE
TUN,1957,pact:ARE
YEM,1957,pact:ARE
AUS,1958,pact:AUS
BEL,1958,pact:AUS
CAN,1958,pact:AUS
DNK,1958,pact:AUS
FRA,1958,pact:AUS
GBR,1958,pact:AUS
GER,1958,pact:AUS
GRC,1958,pact:AUS
ISL,1958,pact:AUS
ITA,1958,pact:AUS
JPN,1958,pact:AUS
KOR,1958,pact:AUS
LUX,1958,pact:AUS
MYS,1958,pact:AUS
NLD,1958,pact:AUS
NOR,1958,pact:AUS
NZL,1958,pact:AUS
PHL,1958,pact:AUS
PRT,1958,pact:AUS
TUR,1958,pact:AUS
TWN,1958,pact:AUS
USA,1958,pact:AUS
YUG,1958,pact:AUS
ALB,1958,pact:ALB
BGR,1958,pact:ALB
CHN,1958,pact:ALB
CSK,1958,pact:ALB
DDR,1958,pact:ALB
FIN,1958,pact:ALB
HUN,1958,pact:ALB
MNG,1958,pact:ALB
POL,1958,pact:ALB
ROU,1958,pact:ALB
